x y z
-1.11 2.12 1
2.64 2.59 0
-1.2 -0.32 1
8.91 2.39 0
-1.57 -1.07 1
-1.38 1.98 1
6.45 0.3 0
1.63 -0.25 1
-1.94 -2.13 1
-1.26 1.23 1
-4.04 -2.4 0
3.44 0.77 0
-0.27 -3.33 1
3.92 -2.02 0
-1.19 2.54 1
0.77 -2.98 1
5.06 -0.16 0
-2.14 0.97 1
-3.74 2.96 0
-2.93 -2.96 0
-2.69 3.97 1
2.41 0.82 0
-3.34 -0.03 1
-2.3 0.24 1
1.28 1.53 1
2.18 -0.51 1
1.58 -1.02 0
0.95 1.57 1
0.78 1.86 0
-1.72 1.39 1
-1 0.1 1
-0.66 -2.72 0
0.43 -1.34 1
-0.82 7.19 0
2.53 -4.53 1
1.96 -2.56 1
-2.28 -2.81 0
-1.34 -0.8 0
1.55 -0.41 1
-0.11 -0.12 1
5.32 -1.36 0
-0.24 -0.07 1
-1.34 9.11 0
-4.34 -3.13 0
-1.12 -2.85 1
-1.9 8.37 0
-3.02 3.71 0
-0.25 -0.4 1
5.43 2.47 0
-0.06 0.89 1
0.48 -1.56 1
0.56 -0.01 1
1.09 4.59 0
-2.5 0.4 1
2.46 -3.65 1
2 -0.41 1
-2.14 1.67 1
0.48 -2.18 1
0.94 2.74 0
1.09 1.33 1
-0.48 0.17 1
5.82 0.19 0
4.63 3.3 0
-0.9 -1.83 1
0.18 -2.29 1
-0.42 8.01 0
-1 4.26 0
-0.28 -1.39 0
5.3 1.4 0
1.78 7.01 0
-0.97 0.41 1
-1.77 1.32 1
-2.23 1.35 0
0.16 2.79 0
-1.57 2.53 1
2.73 -0.74 1
-1.57 -0.8 1
-1.51 1.09 1
0.28 -1.25 1
-2.03 0.79 1
7.67 0.7 0
2.5 0.54 1
1.9 0.14 1
0.04 4 1
-2.92 -2.79 0
-1.32 0.04 1
-1.56 -3.37 0
-0.63 1.32 1
-3.4 0.76 0
4.11 -2.93 0
0.46 -4.47 0
2.82 1.85 0
1.79 0.2 1
0.66 -3.71 0
2.04 -2.84 1
-1.56 -0.94 1
-1.86 1.65 1
-3.02 -2.68 1
-2.03 -0.69 1
0.73 3.79 0
-1.68 2.99 0
0.9 4.85 0
0.3 -1.26 1
2.41 -0.26 1
-1.63 -2.11 1
1.41 -0.59 1
1.16 -1.04 1
1.27 -0.11 1
-1.2 3.27 1
-0.65 0.95 1
-0.14 -1.32 0
-1.08 2.15 1
-1.66 3.85 0
-2.17 -2.5 0
0.35 0.66 1
2.37 0.23 1
0.01 -2.42 0
2.15 2.05 1
-0.36 0.21 1
4.34 -1 0
0.59 4 0
3.93 -1.06 0
-0.52 2.71 1
-0.05 0.53 1
-0.2 2.3 0
-3.55 -0.74 0
-0.24 -0.68 1
-2.36 -1.31 1
1.87 -1.15 1
-2.5 -2.92 0
0.14 -3.96 0
-3.22 3.46 0
-2.01 0.4 1
4.28 -4.34 0
-1.18 3.47 0
2.11 0.71 1
0.91 1.31 1
-1.91 -2.77 1
1.85 -1.09 1
0.71 0.1 1
6.32 -3.89 0
-3.17 -1.54 0
-0.79 -3.53 1
1.8 0.56 1
-3.22 2.62 1
-0.2 -3.57 0
3.98 0.16 0
-2.48 -1.14 1
-1.47 3.32 0
4.59 2.95 0
-1.93 0.87 1
-2.14 2.4 1
-2.38 -3.21 0
0.27 -0.29 1
-2.26 3.42 1
0.87 11 0
-0.19 -3.33 0
1.07 -0.31 1
6.45 -1.27 0
0.02 -0.95 1
-0.42 0.25 1
2.45 0.49 1
-0.52 1.29 1
0.1 -1.59 1
-3.52 -3.17 0
0.59 2.88 0
1.75 -1.91 1
1.13 -0.81 1
0.1 0.83 1
-1.45 -0.13 1
-0.16 -1.76 1
4.01 3.56 0
1.62 1.31 1
-0.39 2.61 1
1.92 4.29 0
-2.85 -3.77 0
-0.95 -1.1 0
-2.64 4.35 0
3.18 -2.71 1
0.11 12.85 0
1.42 -3.73 1
2.63 -2.43 1
0.53 2.22 1
-1.14 2.56 1
-0.47 -0.09 1
-2.61 0.04 1
-2.85 -1.29 0
-2.29 -1.55 1
-2.06 0.81 0
